epoch,train_loss,val_ade,val_fde,val_mr
1,265.69758209228513,13.427260398864746,28.165807723999023,0.9695000648498535
2,188.45114066162108,12.873493194580078,27.092988967895508,0.9890000224113464
3,149.5491952697754,9.609078407287598,22.11750030517578,0.9910000562667847
4,76.70187863464355,7.319697380065918,17.323867797851562,0.9590000510215759
5,50.766479992675784,5.7860426902771,14.79496955871582,0.955500066280365
6,40.50564706115723,5.250232696533203,13.31873893737793,0.9515000581741333
7,35.93396603698731,5.240245342254639,12.88533878326416,0.9570000171661377
8,33.131266529846194,4.867641925811768,12.251701354980469,0.9530000686645508
9,30.191971995544435,5.624311447143555,13.274892807006836,0.9645000696182251
10,28.956532020568847,4.860152721405029,11.679088592529297,0.9520000219345093
11,27.985023373413085,4.971305847167969,11.681138038635254,0.9520000219345093
12,27.64877048034668,5.440371513366699,12.280402183532715,0.9480000734329224
13,26.150089212036132,4.412400722503662,10.825562477111816,0.9285000562667847
14,24.93666992034912,4.46291446685791,10.999598503112793,0.9505000710487366
15,24.19034859008789,4.491319179534912,10.79746150970459,0.9320000410079956
16,23.368682421112062,4.530567646026611,10.682171821594238,0.9470000267028809
17,22.415756369781494,4.482516288757324,10.712461471557617,0.9255000352859497
18,22.54207290344238,4.529489517211914,10.704550743103027,0.9510000348091125
19,21.667075549316408,4.342004299163818,10.577951431274414,0.9425000548362732
20,20.654609631347657,4.3227972984313965,10.32498836517334,0.936500072479248
21,20.257015682983397,4.631298065185547,10.792744636535645,0.940500020980835
22,19.81363345489502,4.238102912902832,10.188252449035645,0.9300000667572021
23,19.235213888549804,3.9832990169525146,9.765360832214355,0.9200000166893005
24,18.921065978240968,4.267587661743164,10.14001178741455,0.9270000457763672
25,18.466920677947996,4.151342868804932,9.739104270935059,0.9205000400543213
26,18.014780501556398,4.214991092681885,9.927254676818848,0.9265000224113464
27,17.672812075805663,4.267634868621826,10.062311172485352,0.9190000295639038
28,17.55602017059326,3.990710735321045,9.552974700927734,0.9255000352859497
29,17.33166591949463,4.0043745040893555,9.63599681854248,0.9100000262260437
30,16.984943561553955,3.8945884704589844,9.40064525604248,0.9155000448226929
31,16.677763146209717,3.756007432937622,9.03200626373291,0.8950000405311584
32,16.431828271484374,3.826918125152588,9.442220687866211,0.9115000367164612
33,16.011634239959715,3.7826056480407715,9.289983749389648,0.9165000319480896
34,16.00415011367798,3.988985061645508,9.45781135559082,0.9180000424385071
35,15.97076762008667,3.7738163471221924,9.057906150817871,0.9000000357627869
36,15.548063375091553,3.726943254470825,9.111677169799805,0.906000018119812
37,15.15443999786377,3.857663869857788,9.153020858764648,0.9025000333786011
38,14.903310066986084,3.7611818313598633,9.144584655761719,0.9095000624656677
39,14.597709381866455,3.6132447719573975,8.861065864562988,0.8825000524520874
40,14.401722425079345,3.852712869644165,9.374706268310547,0.9170000553131104
41,14.272032294464111,3.852937698364258,9.261636734008789,0.9200000166893005
42,14.070733616638183,3.71201491355896,8.930917739868164,0.878000020980835
43,14.004266368865967,3.6166794300079346,8.743602752685547,0.8955000638961792
44,13.641909796905518,3.5648410320281982,8.742321014404297,0.8985000252723694
45,13.476698191070557,3.6094043254852295,8.84264850616455,0.8950000405311584
46,13.32896974105835,3.7183263301849365,8.998485565185547,0.8835000395774841
47,13.158923339080811,3.714144706726074,8.93048095703125,0.8865000605583191
48,12.945227486419677,3.7052934169769287,8.963057518005371,0.9035000205039978
49,12.815149117279052,3.5646755695343018,8.662764549255371,0.8910000324249268
50,12.669164402008057,3.7917320728302,8.958627700805664,0.906000018119812
