epoch,train_loss,val_ade,val_fde,val_mr
1,277.1118292236328,14.301826477050781,29.46706199645996,0.9925000667572021
2,173.1101808288574,11.013297080993652,24.16213035583496,0.9750000238418579
3,121.63294022827148,10.833366394042969,22.87352752685547,0.9810000658035278
4,154.2513719543457,13.898000717163086,28.493499755859375,0.9945000410079956
5,185.7399326904297,11.905496597290039,24.20509910583496,0.9780000448226929
6,127.35557528076171,10.7349271774292,21.788949966430664,0.9880000352859497
7,105.95410813598633,11.621835708618164,23.780502319335938,0.9905000329017639
8,109.5388851135254,9.751358032226562,20.678855895996094,0.9815000295639038
9,77.58268963928222,7.03900671005249,15.873541831970215,0.9640000462532043
10,46.08369337158203,6.128228187561035,14.815933227539062,0.9780000448226929
11,34.839527731323244,5.515902519226074,13.171039581298828,0.9655000567436218
12,30.86907793121338,5.48403787612915,12.786138534545898,0.9545000195503235
13,28.43227551727295,4.861487865447998,11.51833724975586,0.9435000419616699
14,27.1208399230957,4.790281295776367,11.779855728149414,0.9585000276565552
15,26.469566496276855,4.236185550689697,10.649938583374023,0.9260000586509705
16,24.58729037628174,4.812314510345459,11.457197189331055,0.9660000205039978
17,24.685763200378418,5.208312511444092,12.019486427307129,0.9620000720024109
18,23.653984922790528,4.282080173492432,10.614617347717285,0.937000036239624
19,23.205477642822267,4.322880268096924,10.747102737426758,0.9350000619888306
20,22.647368663024903,4.3418354988098145,10.651897430419922,0.9510000348091125
