epoch,train_loss,val_ade,val_fde,val_mr
1,121.30360521392822,21.37984848022461,40.20928955078125,0.9980000257492065
2,18.73492083320618,21.846973419189453,41.69305419921875,0.9975000619888306
3,8.060467762732506,24.402971267700195,54.32815170288086,1.0
4,4.350084487104416,21.027711868286133,43.7615966796875,0.999000072479248
5,2.492422121334076,23.737703323364258,49.7080192565918,1.0
6,1.504953154671192,25.18600082397461,56.456642150878906,0.999500036239624
7,0.9873632079839706,27.098756790161133,66.5306167602539,0.999500036239624
8,0.6746690137445926,24.879959106445312,54.74642562866211,0.9985000491142273
9,0.5107847613453865,28.509178161621094,71.09886169433594,0.999000072479248
10,0.3948629860401154,21.381555557250977,46.458396911621094,0.999000072479248
11,0.32742372044324874,26.348907470703125,60.251041412353516,1.0
12,0.27526822172403337,23.4129638671875,50.89634323120117,0.999500036239624
13,0.25066574081778525,23.833114624023438,49.92011260986328,1.0
14,0.22329297087192534,25.41966438293457,54.329402923583984,1.0
15,0.20704273519515992,24.207853317260742,53.26897048950195,1.0
16,0.2005242542684078,22.004756927490234,44.33892822265625,1.0
17,0.19061508836746216,22.30929183959961,45.90864181518555,0.9975000619888306
18,0.19660831626057626,22.347156524658203,46.7008056640625,0.999000072479248
19,0.17757773736715315,22.490100860595703,46.82792282104492,1.0
20,0.18935048582553862,24.07465362548828,56.56743240356445,1.0
